,date,negative,neutral,positive,open,high,low,close,volume
1384,2018-06-29,7,35,11,5898.1298828125,6261.66015625,5835.75,6218.2998046875,3966230016.0
1385,2018-06-30,2,17,5,6214.2202148438,6465.509765625,6214.2202148438,6404.0,4543860224.0
1386,2018-07-01,7,15,1,6411.6801757813,6432.8500976563,6289.2900390625,6385.8198242188,4788259840.0
1387,2018-07-02,13,26,3,6380.3798828125,6683.8598632813,6305.7001953125,6614.1801757813,4396930048.0
1388,2018-07-03,5,22,10,6596.66015625,6671.3701171875,6447.75,6529.58984375,4672309760.0
1389,2018-07-04,4,17,7,6550.8701171875,6771.919921875,6450.4599609375,6597.5498046875,4176689920.0
1390,2018-07-05,7,27,9,6599.7099609375,6749.5400390625,6546.6499023438,6639.1401367188,4999240192.0
1391,2018-07-06,11,18,12,6638.6899414063,6700.9399414063,6533.5498046875,6673.5,4313959936.0
1392,2018-07-07,3,22,5,6668.7099609375,6863.990234375,6579.240234375,6856.9301757813,3961080064.0
1393,2018-07-08,5,23,4,6857.7998046875,6885.91015625,6747.9799804688,6773.8798828125,3386210048.0
1394,2018-07-09,10,21,9,6775.080078125,6838.6801757813,6724.33984375,6741.75,3718129920.0
1395,2018-07-10,6,8,7,6739.2099609375,6767.740234375,6320.7202148438,6329.9501953125,4052430080.0
1396,2018-07-11,3,9,6,6330.7700195313,6444.9599609375,6330.4702148438,6394.7099609375,3644859904.0
1397,2018-07-12,5,2,5,6396.7797851563,6397.1000976563,6136.419921875,6228.8100585938,3770170112.0
1398,2018-07-13,8,13,6,6235.0297851563,6310.5498046875,6192.240234375,6238.0498046875,3805400064.0
1399,2018-07-14,4,8,1,6247.5,6298.1899414063,6212.2202148438,6276.1201171875,2923670016.0
1400,2018-07-15,4,5,2,6272.7001953125,6403.4599609375,6256.509765625,6359.6401367188,3285459968.0
1401,2018-07-16,3,10,3,6357.009765625,6741.75,6357.009765625,6741.75,4725799936.0
1402,2018-07-17,2,13,3,6739.6499023438,7387.240234375,6684.169921875,7321.0400390625,5961950208.0
1403,2018-07-18,1,5,3,7315.3198242188,7534.990234375,7280.4702148438,7370.7797851563,6103410176.0
1404,2018-07-19,0,5,0,7378.2001953125,7494.4599609375,7295.4599609375,7466.8598632813,5111629824.0
1405,2018-07-20,2,4,2,7467.3999023438,7594.669921875,7323.259765625,7354.1298828125,4936869888.0
1406,2018-07-21,3,6,2,7352.7202148438,7437.6401367188,7262.41015625,7419.2900390625,3726609920.0
1407,2018-07-22,3,5,1,7417.7998046875,7537.9501953125,7383.8198242188,7418.490234375,3695460096.0
1408,2018-07-23,7,10,3,7414.7099609375,7771.5,7409.1000976563,7711.1098632813,5132480000.0
1409,2018-07-24,3,8,3,7716.509765625,8424.26953125,7705.5,8424.26953125,7277689856.0
1410,2018-07-25,3,20,4,8379.66015625,8416.8701171875,8086.3598632813,8181.3901367188,5845400064.0
1411,2018-07-26,3,11,4,8176.8500976563,8290.330078125,7878.7099609375,7951.580078125,4899089920.0
1412,2018-07-27,7,15,1,7950.3999023438,8262.66015625,7839.759765625,8165.009765625,5195879936.0
1413,2018-07-28,3,11,0,8169.0600585938,8222.849609375,8110.7700195313,8192.150390625,3988750080.0
1414,2018-07-29,4,10,3,8205.8203125,8272.259765625,8141.1801757813,8218.4599609375,4107190016.0
1415,2018-07-30,6,16,2,8221.58,8235.5,7917.5,8180.48,5551400000.0
1416,2018-07-31,4,16,4,8181.2,8181.53,7696.93,7780.44,5287530000.0
1417,2018-08-01,4,9,2,7769.04,7769.04,7504.95,7624.91,4797620000.0
1418,2018-08-02,7,12,1,7634.19,7712.77,7523.44,7567.15,4214110000.0
1419,2018-08-03,6,15,2,7562.14,7562.14,7328.65,7434.39,4627150000.0
